,mean,std
PCA_13,0.0009201068994813433,0.000634648469007796
PCA_7,0.000834173366630031,0.00030983240227575325
PCA_22,0.0008162685849189665,0.00027138125792660456
PCA_12,0.0007823618379871888,0.00042096732346060114
PCA_24,0.0007203125848006531,0.00033545765777173996
PCA_0,0.0006888267577419116,0.00031067428559469035
PCA_30,0.0006565275484018196,0.00038729074114102495
PCA_26,0.0006144408885958352,0.0003677619931218601
PCA_6,0.0005851011300823883,0.0002691990452805173
PCA_29,0.0005828634673376687,0.00022592725040590424
PCA_18,0.0005795206588967705,0.0005402198407588838
PCA_11,0.0005713146923792322,0.000270311934998104
PCA_4,0.0005468473833393439,0.00043316028600983597
PCA_31,0.0004657916147436492,0.0005457609411149823
PCA_16,0.0004481781348515179,0.00021748787521053635
PCA_23,0.00041131407459154,0.0003107814790623393
PCA_27,0.0003970075024042785,0.00034037636545523485
PCA_15,0.0003834046691963078,0.0003211920848137478
PCA_10,0.00038169436825743477,0.0002805775679798941
PCA_5,0.0003813756749703412,0.00032781310090524617
PCA_14,0.00036903124035725376,0.00031842432324155563
PCA_8,0.0003669041742707657,0.00031261041215265554
PCA_9,0.0003208828801125607,0.0003287087499589663
PCA_21,0.0002730599451002735,0.0002659175967115731
PCA_3,0.000258273048926716,0.00016784992579941404
PCA_17,0.0002477539193045164,0.00043892054511007327
PCA_1,0.00024717810582857157,0.00034525997189313156
PCA_25,0.00024187672540900706,0.0004080751312069345
PCA_20,0.00022346279274756408,0.00042428117655722645
PCA_28,0.00016658799240290011,0.00042557127228547625
PCA_2,2.98636950914144e-05,0.00018312716953018405
PCA_19,-2.6943381475730276e-05,0.00020716871221267984
