,mean,std
PCA_13,0.03675637471899171,0.009438536616884053
PCA_9,0.03373480907291238,0.008498808044134212
PCA_6,0.033595190761191614,0.0084830603547159
PCA_30,0.03345385853615604,0.008697546622228106
PCA_27,0.03338358564586175,0.008030984687778455
PCA_15,0.03309079274377882,0.008940066553623135
PCA_14,0.033054510335359645,0.00839000198121551
PCA_24,0.03268661143490049,0.008090018704362783
PCA_8,0.03237459987583342,0.009204257433677865
PCA_5,0.032170206061930606,0.009076033941355355
PCA_19,0.03200224042020853,0.008330523602069541
PCA_10,0.03179672605241835,0.009633877083209728
PCA_2,0.031774631168955667,0.008582420028279962
PCA_18,0.031656064172012215,0.008916898245388763
PCA_12,0.03153053941235392,0.007907200651281717
PCA_1,0.031172309344448323,0.008657465577120015
PCA_21,0.03110610759250195,0.010090651857606719
PCA_0,0.03100610451173075,0.008692234376411251
PCA_11,0.030994863841142355,0.008036650599749616
PCA_29,0.030990000201417775,0.007782132634800219
PCA_26,0.03098095875145777,0.00678396648276126
PCA_28,0.030751787323278386,0.008452070895008072
PCA_7,0.029987701339698514,0.009568571230397812
PCA_20,0.029690428438841142,0.007353346929651336
PCA_22,0.029661007877795367,0.008371188406714218
PCA_23,0.029596917595932543,0.009855481991859014
PCA_3,0.029386309283653572,0.009882696794776132
PCA_4,0.028957817409196004,0.00924993623566828
PCA_17,0.028734366025526453,0.007708845426665924
PCA_31,0.028386590732084424,0.007988104008512522
PCA_16,0.0281288555347038,0.007606631393439774
PCA_25,0.02740713378372562,0.007721693286823772
