,mean,std
PCA_25,0.036091821389428506,0.008458079524473446
PCA_31,0.034494365726066185,0.008930278212065046
PCA_30,0.034436655260936394,0.0087494990315321
PCA_6,0.03414484302290778,0.008860430287929124
PCA_27,0.033124310748140796,0.00883670930195532
PCA_3,0.03308575390239531,0.008201731352983393
PCA_29,0.03296864442392189,0.008678892232165973
PCA_4,0.032423431241392006,0.008866625594115326
PCA_17,0.03233521016860588,0.008644858590042919
PCA_5,0.0323230388773153,0.00910935084482391
PCA_0,0.03217630314956177,0.008793287098212765
PCA_22,0.03191636191553338,0.007791508076154921
PCA_8,0.031718432235106626,0.009404593168844526
PCA_14,0.031697807871238534,0.009399411035242012
PCA_19,0.03162829129806139,0.008799874941206464
PCA_16,0.03132193862773198,0.0098487507316758
PCA_18,0.031220843036115522,0.008612377464355166
PCA_21,0.031016825609915873,0.009382638239657373
PCA_7,0.030871525410565294,0.009424067189823275
PCA_11,0.03034253808367165,0.006613158286151101
PCA_2,0.03011956738121106,0.008518201979130089
PCA_28,0.03011352194362112,0.0089474234919492
PCA_15,0.030058466211225928,0.007904667886700868
PCA_10,0.02997678035613092,0.008486744825124995
PCA_1,0.029743566408065365,0.007350780839769331
PCA_24,0.029718103467744603,0.007980260284655103
PCA_12,0.029450637741499273,0.008544140926610858
PCA_26,0.029421972393717823,0.009548672386107107
PCA_20,0.029318561042896936,0.009488223544639646
PCA_9,0.028054423935142406,0.008676569600538983
PCA_23,0.02742339131650042,0.008153969770756988
PCA_13,0.02726206580363199,0.006302900506600562
