,mean,std
PCA_10,-0.693082981759323,0.00011704955994788808
PCA_12,-0.6934990489442314,0.00028757737337382417
PCA_25,-0.693513741851097,0.00041307201837065955
PCA_9,-0.6935870631925504,0.0003201684623086345
PCA_11,-0.6936716090492208,0.00019989997280337897
PCA_16,-0.6936963147512356,0.00014355093681981724
PCA_19,-0.6937314910246964,0.00014932030966704406
PCA_27,-0.6937488056735293,0.00045940280766434695
PCA_20,-0.693754396547666,0.0003016947239806899
PCA_1,-0.6937804624490577,0.00047385122720215055
PCA_2,-0.693807541326851,0.00034870311765054985
PCA_5,-0.6938230197148016,0.00027216964806707375
PCA_23,-0.6938424902295789,8.160471888505061e-05
PCA_8,-0.693852415087133,0.0002754606432370817
PCA_29,-0.6938690579487392,0.0003078436130382465
PCA_24,-0.6938836047799164,0.0002741855725894746
PCA_26,-0.6939001230341151,0.0002390328403435854
PCA_18,-0.6939105622801078,0.00029162308749654286
PCA_31,-0.6939733118175537,0.0004009935469870513
PCA_15,-0.6940055623289191,0.00022365271331871211
PCA_4,-0.6940058237465905,0.00020650375870228372
PCA_0,-0.6940298218953577,0.0005220234631658589
PCA_22,-0.6940544517949963,0.00016274391963338816
PCA_21,-0.6940639634933529,0.00022976268752262144
PCA_17,-0.6941213554781018,0.00044663262248696885
PCA_13,-0.694121831748862,8.774306001758524e-05
PCA_7,-0.694229775658047,0.00040073183605620396
PCA_3,-0.6942347679756976,0.00019305510596376335
PCA_6,-0.6942613990679327,0.0002831605590430988
PCA_30,-0.6942874309347925,0.00013090980601341686
PCA_28,-0.6944125760742128,0.00011375380815780639
PCA_14,-0.6945210937450949,0.0004252303750117315
