,mean,std
PCA_27,-0.6932187669876237,6.761879649183801e-05
PCA_21,-0.6933941502134247,0.00022232270346296136
PCA_9,-0.6934004847013886,5.085379047121147e-05
PCA_8,-0.6934271788103662,7.658519345060852e-05
PCA_5,-0.6935891133704193,0.0002317513821461769
PCA_30,-0.6936108101346806,0.0001636086529439177
PCA_15,-0.6936161744920837,0.0003096624108737668
PCA_16,-0.6936399151005287,0.00026268034649745605
PCA_4,-0.6936463142731283,0.00025157683074184634
PCA_28,-0.6936573288226411,0.00024484115786694536
PCA_29,-0.6937304353589371,0.00015437039779566368
PCA_23,-0.693760308835355,0.0003097050447198338
PCA_22,-0.6937623884043287,0.00030272228922204996
PCA_7,-0.6937777560614942,0.0002076213727040878
PCA_20,-0.6937798539106341,0.0002881835141230739
PCA_11,-0.6938403053901978,0.000338612141175151
PCA_26,-0.6938442864499357,0.0003461365145486442
PCA_1,-0.6938455919603523,0.0001582098835237819
PCA_12,-0.6938890758511019,0.0003440631274388831
PCA_10,-0.6939258210796908,0.00026387392248504617
PCA_6,-0.693992465771736,0.0002312005791785784
PCA_13,-0.6940135780158837,0.00030103723974913394
PCA_24,-0.6940396608121192,0.00025389601186588944
PCA_3,-0.6940554019365408,0.0001036513309704409
PCA_19,-0.6940571192556726,0.0001669697995258371
PCA_18,-0.694058924399276,0.00032761234596982854
PCA_25,-0.6941724158529198,0.0003535295672214717
PCA_0,-0.6942959332844665,0.00038850304274447224
PCA_14,-0.6943285233737984,0.0005709742265406365
PCA_31,-0.6943372394154086,0.00011996977711345493
PCA_2,-0.6943675698644943,0.00020127745684993682
PCA_17,-0.6947655011802495,0.00033659082717445166
